Comedian,Alma Mater
Hugh Dennis,Cambridge
Stewart Lee,Oxford
James Acaster,Northampton College
Richard Ayoade,Cambridge
Clive Anderson,Cambridge
Russell Brand,Italia Conti Academy of Theatre Arts,Drama Centre London
Rory Bremner,King's College London
Kevin Bridges,Glasgow Caledonian University
Jo Brand,Brunel University London
Frankie Boyle,University of Sussex
Marcus Brigstocke,University of Bristol
Tim Brooke-Taylor,Cambridge
Rob Brydon,Royal Welsh College of Music & Drama
Susan Calman,University of Glasgow
Alan Carr,Middlesex University
Jimmy Carr,Cambridge
Alan Davies,University of Kent
Angus Deayton,Oxford
Omid Djalili,Ulster University
Noel Fielding,Buckinghamshire New University
Micky Flanagan,University of London
Stephen Fry,Cambridge
Andy Hamilton,Cambridge
Tony Hawks,University of Manchester
Ian Hislop,Oxford
Rufus Hound,Godalming College
Milton Jones,Middlesex University
Miles Jupp,University of Edinburgh
Josie Long,Oxford
Lee Mack,Brunel University London
David Mitchell,Cambridge
Victoria Coren Mitchell,Oxford
Jason Manford,University of Salford
Michael McIntyre,University of Edinburgh
Andy Parsons,Cambridge
Sue Perkins,Cambridge
Jon Richardson,University of Bristol
Jonathan Ross,University College London
Mark Watson,Cambridge
Robert Webb,Cambridge
Jack Whitehall,University of Manchester
John Oliver,Cambridge
Armando Iannucci,University of Glasgow,Oxford
Hugh Laurie,Cambridge
Alexander Armstrong,Cambridge
Ben Miller,Cambridge
John Cleese,Cambridge
Bob Mortimer,University of Sussex,University of Leicester
Rowan Atkinson,Oxford
David Baddiel,Oxford
Harry Hill,University of London
Frank Skinner,University of Warwick,Birmingham City University
Rhys James,Manchester University
Vic Reeves,Middlesex University
Nish Kumar,Grey College,Durham
Greg Davies,Brunel University London
Alex Horne,Cambridge
Michael Palin,Oxford
Terry Jones,Oxford
Eric Idle,Cambridge
Terry Gilliam,Occidental College
Graham Chapman,Cambridge
David Walliams,University of Bristol
Bill Oddie,Cambridge
Mel Giedroyc,Cambridge
Jennifer Saunders,Royal Central School of Speech and Drama
Peter Kay,University of Salford
Stephen Merchant,University of Warwick
Ricky Gervais,University College London
Rhod Gilbert,University of Exeter
Miranda Hart,University of the West of England in Bristol
Josh Widdicombe,University of Manchester
Alex Brooker,Liverpool John Moores University
Ed Gamble,Durham University
Dara Ã“ Briain,University College Dublin
Ed Byrne,University of Strathclyde
Romesh Ranganathan,University of London
Claudia Winkleman,Cambridge
Richard Osman,Cambridge
Stephen Mangan,Cambridge
Eddie Izzard,University of Sheffield
Al Murray,Oxford
Tim Vine,Epsom College
Sandi Toksvig,Cambridge
Billy Connolly,-
Jack Dee,-
Paul Merton,-
Charlie Brooker,University of Westminster
Adam Buxton,University of Warwick
Aisling Bea,University of Dublin